value
"tf.Tensor([115.58236], shape=(1,), dtype=float32)"
"tf.Tensor([95.55457], shape=(1,), dtype=float32)"
"tf.Tensor([76.37072], shape=(1,), dtype=float32)"
"tf.Tensor([73.39986], shape=(1,), dtype=float32)"
"tf.Tensor([114.11932], shape=(1,), dtype=float32)"
"tf.Tensor([78.65986], shape=(1,), dtype=float32)"
"tf.Tensor([98.25881], shape=(1,), dtype=float32)"
"tf.Tensor([96.476616], shape=(1,), dtype=float32)"
"tf.Tensor([70.92979], shape=(1,), dtype=float32)"
"tf.Tensor([71.71302], shape=(1,), dtype=float32)"
"tf.Tensor([99.224205], shape=(1,), dtype=float32)"
"tf.Tensor([91.47462], shape=(1,), dtype=float32)"
"tf.Tensor([70.21795], shape=(1,), dtype=float32)"
"tf.Tensor([94.56548], shape=(1,), dtype=float32)"
"tf.Tensor([75.24915], shape=(1,), dtype=float32)"
"tf.Tensor([93.881386], shape=(1,), dtype=float32)"
"tf.Tensor([97.690865], shape=(1,), dtype=float32)"
"tf.Tensor([89.82204], shape=(1,), dtype=float32)"
"tf.Tensor([69.56902], shape=(1,), dtype=float32)"
"tf.Tensor([90.8234], shape=(1,), dtype=float32)"
"tf.Tensor([91.672676], shape=(1,), dtype=float32)"
"tf.Tensor([65.43731], shape=(1,), dtype=float32)"
"tf.Tensor([86.13367], shape=(1,), dtype=float32)"
"tf.Tensor([61.664463], shape=(1,), dtype=float32)"
"tf.Tensor([86.55699], shape=(1,), dtype=float32)"
"tf.Tensor([61.652695], shape=(1,), dtype=float32)"
"tf.Tensor([53.733547], shape=(1,), dtype=float32)"
"tf.Tensor([67.65438], shape=(1,), dtype=float32)"
"tf.Tensor([48.81163], shape=(1,), dtype=float32)"
"tf.Tensor([64.14447], shape=(1,), dtype=float32)"
"tf.Tensor([47.126877], shape=(1,), dtype=float32)"
"tf.Tensor([62.96406], shape=(1,), dtype=float32)"
"tf.Tensor([71.444435], shape=(1,), dtype=float32)"
"tf.Tensor([56.4772], shape=(1,), dtype=float32)"
"tf.Tensor([70.55035], shape=(1,), dtype=float32)"
"tf.Tensor([47.8813], shape=(1,), dtype=float32)"
"tf.Tensor([62.03312], shape=(1,), dtype=float32)"
"tf.Tensor([46.86918], shape=(1,), dtype=float32)"
"tf.Tensor([60.183136], shape=(1,), dtype=float32)"
"tf.Tensor([48.648678], shape=(1,), dtype=float32)"
"tf.Tensor([56.99522], shape=(1,), dtype=float32)"
"tf.Tensor([44.62557], shape=(1,), dtype=float32)"
"tf.Tensor([45.311367], shape=(1,), dtype=float32)"
"tf.Tensor([49.35634], shape=(1,), dtype=float32)"
"tf.Tensor([53.68615], shape=(1,), dtype=float32)"
"tf.Tensor([45.114006], shape=(1,), dtype=float32)"
"tf.Tensor([49.22371], shape=(1,), dtype=float32)"
"tf.Tensor([42.95317], shape=(1,), dtype=float32)"
"tf.Tensor([42.946552], shape=(1,), dtype=float32)"
"tf.Tensor([46.493324], shape=(1,), dtype=float32)"
"tf.Tensor([39.682747], shape=(1,), dtype=float32)"
"tf.Tensor([39.161507], shape=(1,), dtype=float32)"
